"","EIR","ft","S","D","A","T","phi","b","m","Sv","Ev","Iv","a","cA","cD","cT","n","mu","rD","rA","rT_S","rT_R"
"1",0.25,0.1,0.914037274629421,0.0014270575532996,0.0843771058669134,0.000158561950366623,0.786313766064497,0.589759742553586,0.801595661760769,0.989569768936274,0.00764394813894413,0.00278628292478208,0.306666666666667,0.0525829813269701,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"2",0.5,0.1,0.84246722552779,0.00277056236329404,0.154454371846328,0.000307840262588227,0.765827799655238,0.588689303395103,0.925438026989015,0.981931090514947,0.0132420658935699,0.00482684359148326,0.306666666666667,0.0500235248511732,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"3",0.75,0.1,0.781868375587654,0.00395112038927467,0.213741490646485,0.000439013376586075,0.731386732372293,0.586817531916873,1.03877101845394,0.975853692998802,0.0176959759890728,0.00645033101212513,0.306666666666667,0.0485332013675333,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"4",1,0.1,0.729889047931917,0.00493287028837558,0.264629985080999,0.000548096698708398,0.688709862276338,0.5841584257663,1.14816684664401,0.97087242852802,0.0213465688712806,0.00778100260069923,0.306666666666667,0.0474919973492871,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"5",1.5,0.1,0.64566472589131,0.0063483409596148,0.34728156193134,0.000705371217734978,0.599488280222808,0.57669061244688,1.36260025321737,0.963184383892031,0.0269808653819077,0.00983475072606102,0.306666666666667,0.0460932287461299,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"6",2,0.1,0.580973394372653,0.00723026902483843,0.410992973377526,0.000803363224982048,0.521446273510042,0.566889347201648,1.57541533297956,0.95754349829244,0.0311148713034971,0.0113416304040626,0.306666666666667,0.0452029751859269,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"7",2.5,0.1,0.530228678529728,0.00777935272006608,0.461127596225754,0.000864372524451787,0.458327208318407,0.555492763474353,1.78828129847012,0.953246572678482,0.0342639363960458,0.0124894909254722,0.306666666666667,0.0445991452025484,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"8",3,0.1,0.489602983427651,0.00812073499928601,0.501373977684253,0.000902303888809557,0.407870006391506,0.543211689408894,2.00162888775112,0.949875855471457,0.0367342160441305,0.0133899284844122,0.306666666666667,0.0441672545186629,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"9",3.5,0.1,0.456417678358574,0.00832869373086002,0.534328217496026,0.000925410414540002,0.367137270639135,0.530638115041674,2.21548936122333,0.947166710138838,0.0387196530202514,0.0141136368409109,0.306666666666667,0.0438416955509742,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"10",4,0.1,0.428781474853134,0.00844866481111469,0.561831119801183,0.000938740534568299,0.333730442006444,0.518213557522305,2.42976340914739,0.944943920446779,0.0403486571167156,0.0147074224365056,0.306666666666667,0.0435832615183103,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"11",4.5,0.1,0.405348283838408,0.00850958258419474,0.585196624401376,0.000945509176021638,0.305878224193438,0.506236394337482,2.64432332358225,0.943087555840433,0.0417091212033864,0.0152033229561805,0.306666666666667,0.0433679707911581,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"12",5,0.1,0.385151174689335,0.00853047795617225,0.605370516470474,0.000947830884019139,0.282301503716794,0.494887551283733,2.85905169821826,0.941513278846579,0.0428628532371094,0.0156238679163116,0.306666666666667,0.0431809521746877,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"13",6,0.1,0.351843093294319,0.00849934368485983,0.638713191500281,0.000944371520539981,0.244512936585071,0.474387778565875,3.28865600520762,0.938984232158505,0.0447163022744791,0.016299465567016,0.306666666666667,0.0428580507756929,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"14",7,0.1,0.325164943638586,0.00841655379894868,0.665483329918138,0.000935172644327632,0.215485708771308,0.456855286638858,3.7180717532756,0.937036399847468,0.0461437998129283,0.0168198003396037,0.306666666666667,0.0425746202824473,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"15",8,0.1,0.303023863219534,0.00831150267233952,0.6877411338112,0.000923500296926613,0.192427339683931,0.442010393857869,4.14705168327269,0.935485131237161,0.047280669814591,0.0172341989482483,0.306666666666667,0.0423150426553712,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"16",9,0.1,0.284163941691469,0.00819851349876077,0.706726598865464,0.000910945944306752,0.173632054774763,0.42945470989594,4.57550192834301,0.934217095370031,0.0482099685374517,0.0175729360925177,0.306666666666667,0.0420731987775446,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"17",10,0.1,0.267787699817461,0.00808451904629892,0.723229501242207,0.000898279894033213,0.157996969910667,0.418797989916085,5.00341323780971,0.933159005067466,0.0489854055675335,0.0178555893650003,0.306666666666667,0.0418465636553038,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"18",15,0.1,0.208990100363312,0.00756326770929075,0.782606268848587,0.000840363078810084,0.107391908729956,0.384053807709584,7.13666617629403,0.929708120581981,0.0515144369839395,0.0187774424340797,0.306666666666667,0.0409060623865278,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"19",20,0.1,0.171688052622562,0.00712539017226294,0.820394847186034,0.000791710019140327,0.0796598948863824,0.365654828367438,9.26514839315093,0.927808362115164,0.0529067028990611,0.019284934985775,0.306666666666667,0.0402148128991124,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"20",30,0.1,0.126447311522162,0.00641564349107911,0.866424195709973,0.000712849276786568,0.0503205800119148,0.347184743613193,13.5280482641491,0.925835616710484,0.0543524583643603,0.019811924925156,0.306666666666667,0.0392767301355634,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"21",50,0.1,0.0826366192672545,0.00548640344210983,0.911267376908179,0.000609600382456647,0.0269097034550154,0.332770437705966,22.1156554602777,0.924389959982309,0.0554119291459148,0.0201981108717758,0.306666666666667,0.038213310197915,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"22",100,0.1,0.0442230267209998,0.00463964149720065,0.950621816059888,0.000515515721911183,0.0117348711461859,0.322352540033181,43.8759010410307,0.923777492669366,0.0558607848182706,0.020361722512363,0.306666666666667,0.0370185421943509,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"23",200,0.1,0.0229569251796814,0.00466807048757039,0.971856329834129,0.000518674498618932,0.00599788155026039,0.317284102412452,87.939497855998,0.923940180003882,0.0557415570139867,0.0203182629821313,0.306666666666667,0.0361232364511974,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"24",0.25,0.2,0.921238179696002,0.00126849560293298,0.0771762008003322,0.000317123900733245,0.786313766064497,0.589759742553586,0.875509737489414,0.990450331259798,0.00699861509761449,0.00255105364258775,0.306666666666667,0.0525727392325543,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"25",0.5,0.2,0.855276760499835,0.00246272210070581,0.141644836874283,0.000615680525176453,0.765827799655238,0.588689303395103,1.00840766065515,0.983417761887264,0.0121525369272206,0.00442970118551532,0.306666666666667,0.0499686491329097,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"26",0.75,0.2,0.798734727209241,0.0035121070126886,0.196875139024898,0.00087802675317215,0.731386732372293,0.586817531916873,1.1282871991696,0.977769415505204,0.0162920105929011,0.00593857390189455,0.306666666666667,0.0484037653952354,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"27",1,0.2,0.749462412941879,0.00438477358966718,0.245056620071037,0.0010961933974168,0.688709862276338,0.5841584257663,1.24249947559765,0.973083842251688,0.019725901820456,0.00719025592785576,0.306666666666667,0.0472764825701804,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"28",1.5,0.2,0.667811523057395,0.00564296974187982,0.325134764765255,0.00141074243546996,0.599488280222808,0.57669061244688,1.46323890190741,0.965716488424632,0.0251251753582325,0.00915833621713569,0.306666666666667,0.04572862186972,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"29",2,0.2,0.603583463439159,0.00642690579985639,0.388382904311021,0.0016067264499641,0.521446273510042,0.566889347201648,1.67984060885545,0.960182755779231,0.0291806526624056,0.0106365915583631,0.306666666666667,0.0447480521800192,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"30",2.5,0.2,0.552378602182631,0.00691498019561429,0.438977672572851,0.00172874504890357,0.458327208318407,0.555492763474353,1.89519581507299,0.955884094375107,0.0323309898542905,0.0117849157706028,0.306666666666667,0.0441016475616126,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"31",3,0.2,0.510922065593851,0.00721843111047645,0.480054895518053,0.00180460777761911,0.407870006391506,0.543211689408894,2.11031841839847,0.952457442067778,0.0348422623627686,0.0127002955694529,0.306666666666667,0.0436564391912726,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"32",3.5,0.2,0.476782528238458,0.00740328331632002,0.513963367616142,0.00185082082908,0.367137270639135,0.530638115041674,2.32553159866224,0.949666737844729,0.0368874709704966,0.0134457911847747,0.306666666666667,0.0433338013712585,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"33",4,0.2,0.448178838729581,0.00750992427654639,0.542433755924736,0.0018774810691366,0.333730442006444,0.518213557522305,2.54088956316152,0.947351805647517,0.038584003056176,0.0140641912963075,0.306666666666667,0.0430868026589636,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"34",4.5,0.2,0.423812968769704,0.0075640734081731,0.566731939470079,0.00189101835204328,0.305878224193438,0.506236394337482,2.75634946005146,0.945400644702575,0.0400139400329067,0.0145854152645184,0.306666666666667,0.04288711158875,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"35",5,0.2,0.402737335360073,0.00758264707215311,0.587784355799736,0.00189566176803828,0.282301503716794,0.494887551283733,2.97184329879046,0.943733049617736,0.0412360616012002,0.0150308887810635,0.306666666666667,0.0427174522548672,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"36",6,0.2,0.367851892965126,0.00755497216431985,0.622704391829474,0.00188874304107996,0.244512936585071,0.474387778565875,3.40268566205057,0.941028972037528,0.0432177846004805,0.0157532433619916,0.306666666666667,0.0424299029680623,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"37",7,0.2,0.339820974868614,0.00748138115462105,0.65082729868811,0.00187034528865526,0.215485708771308,0.456855286638858,3.83305130617036,0.938925110959299,0.0447596301142824,0.0163152589264184,0.306666666666667,0.042179531511542,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"38",8,0.2,0.316517538092419,0.00738800237541291,0.674247458938315,0.00184700059385323,0.192427339683931,0.442010393857869,4.26276302241331,0.937236366719823,0.0459972511514032,0.016766382128774,0.306666666666667,0.041949644788719,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"39",9,0.2,0.296651810272109,0.00728756755445402,0.694238730284823,0.0018218918886135,0.173632054774763,0.42945470989594,4.69176942299459,0.935847272137615,0.0470152695329335,0.0171374583294512,0.306666666666667,0.0417341658234526,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
